CountryCode,Table Name,Income Group,Region
ABW,Aruba,High income: nonOECD,Latin America & Caribbean
ADO,Andorra,High income: nonOECD,Europe & Central Asia
AFG,Afghanistan,Low income,South Asia
AGO,Angola,Lower middle income,Sub-Saharan Africa
ALB,Albania,Upper middle income,Europe & Central Asia
ARE,United Arab Emirates,High income: nonOECD,Middle East & North Africa
ARG,Argentina,Upper middle income,Latin America & Caribbean
ARM,Armenia,Lower middle income,Europe & Central Asia
ASM,American Samoa,Upper middle income,East Asia & Pacific
ATG,Antigua and Barbuda,Upper middle income,Latin America & Caribbean
AUS,Australia,High income: OECD,East Asia & Pacific
AUT,Austria,High income: OECD,Europe & Central Asia
AZE,Azerbaijan,Upper middle income,Europe & Central Asia
BDI,Burundi,Low income,Sub-Saharan Africa
BEL,Belgium,High income: OECD,Europe & Central Asia
BEN,Benin,Low income,Sub-Saharan Africa
BFA,Burkina Faso,Low income,Sub-Saharan Africa
BGD,Bangladesh,Low income,South Asia
BGR,Bulgaria,Upper middle income,Europe & Central Asia
BHR,Bahrain,High income: nonOECD,Middle East & North Africa
BHS,"Bahamas, The",High income: nonOECD,Latin America & Caribbean
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia
BLR,Belarus,Upper middle income,Europe & Central Asia
BLZ,Belize,Lower middle income,Latin America & Caribbean
BMU,Bermuda,High income: nonOECD,North America
BOL,Bolivia,Lower middle income,Latin America & Caribbean
BRA,Brazil,Upper middle income,Latin America & Caribbean
BRB,Barbados,High income: nonOECD,Latin America & Caribbean
BRN,Brunei Darussalam,High income: nonOECD,East Asia & Pacific
BTN,Bhutan,Lower middle income,South Asia
BWA,Botswana,Upper middle income,Sub-Saharan Africa
CAF,Central African Republic,Low income,Sub-Saharan Africa
CAN,Canada,High income: OECD,North America
CHE,Switzerland,High income: OECD,Europe & Central Asia
CHI,Channel Islands,High income: nonOECD,Europe & Central Asia
CHL,Chile,Upper middle income,Latin America & Caribbean
CHN,China,Lower middle income,East Asia & Pacific
CIV,Côte d'Ivoire,Lower middle income,Sub-Saharan Africa
CMR,Cameroon,Lower middle income,Sub-Saharan Africa
COG,"Congo, Rep.",Lower middle income,Sub-Saharan Africa
COL,Colombia,Upper middle income,Latin America & Caribbean
COM,Comoros,Low income,Sub-Saharan Africa
CPV,Cape Verde,Lower middle income,Sub-Saharan Africa
CRI,Costa Rica,Upper middle income,Latin America & Caribbean
CUB,Cuba,Upper middle income,Latin America & Caribbean
CYM,Cayman Islands,High income: nonOECD,Latin America & Caribbean
CYP,Cyprus,High income: nonOECD,Europe & Central Asia
CZE,Czech Republic,High income: OECD,Europe & Central Asia
DEU,Germany,High income: OECD,Europe & Central Asia
DJI,Djibouti,Lower middle income,Middle East & North Africa
DMA,Dominica,Upper middle income,Latin America & Caribbean
DNK,Denmark,High income: OECD,Europe & Central Asia
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean
DZA,Algeria,Upper middle income,Middle East & North Africa
ECU,Ecuador,Lower middle income,Latin America & Caribbean
EGY,"Egypt, Arab Rep.",Lower middle income,Middle East & North Africa
ERI,Eritrea,Low income,Sub-Saharan Africa
ESP,Spain,High income: OECD,Europe & Central Asia
EST,Estonia,High income: nonOECD,Europe & Central Asia
ETH,Ethiopia,Low income,Sub-Saharan Africa
FIN,Finland,High income: OECD,Europe & Central Asia
FJI,Fiji,Upper middle income,East Asia & Pacific
FRA,France,High income: OECD,Europe & Central Asia
FRO,Faeroe Islands,High income: nonOECD,Europe & Central Asia
FSM,"Micronesia, Fed. Sts.",Lower middle income,East Asia & Pacific
GAB,Gabon,Upper middle income,Sub-Saharan Africa
GBR,United Kingdom,High income: OECD,Europe & Central Asia
GEO,Georgia,Lower middle income,Europe & Central Asia
GHA,Ghana,Low income,Sub-Saharan Africa
GIN,Guinea,Low income,Sub-Saharan Africa
GMB,"Gambia, The",Low income,Sub-Saharan Africa
GNB,Guinea-Bissau,Low income,Sub-Saharan Africa
GNQ,Equatorial Guinea,High income: nonOECD,Sub-Saharan Africa
GRC,Greece,High income: OECD,Europe & Central Asia
GRD,Grenada,Upper middle income,Latin America & Caribbean
GRL,Greenland,High income: nonOECD,Europe & Central Asia
